5
ENSGALG00000011847	TTC26	MissingGeneType
ENSGALG00000011854	UBN2	MissingGeneType
ENSGALG00000011856	C7ORF55	MissingGeneType
ENSGALG00000011857	LUC7L2	MissingGeneType
ENSGALG00000011859	GBE	MissingGeneType
